Comparison,Metric,Mean diff (EWP - baseline),t-statistic,"p-value (paired t-test, n=3)",Significant at alpha=0.05
QFL-EWP vs. Random Pruning,accuracy,0.362962962962963,9.95039241830946,0.009949475620229737,True
QFL-EWP vs. Random Pruning,forgetting_score,-0.06357567443987196,-0.5512304300863712,0.6368336388165468,False
QFL-EWP vs. Fisher-only Pruning,accuracy,0.37037037037037046,35.92106040535503,0.000774100224634851,True
QFL-EWP vs. Fisher-only Pruning,forgetting_score,-0.2184545038866027,-5.729442017047155,0.029138281742962208,True
QFL-EWP vs. Entanglement-only Pruning,accuracy,0.43888888888888894,136.83201379794178,5.340596548442209e-05,True
QFL-EWP vs. Entanglement-only Pruning,forgetting_score,-0.17785093735711013,-5.030827473856274,0.037313823702555114,True
QFL-EWP vs. Fine-Tune Only,accuracy,-0.027777777777777752,-1.4237369936287452,0.2905243452393975,False
QFL-EWP vs. Fine-Tune Only,forgetting_score,-0.14723365340649294,-1.747119626966034,0.2227287229156426,False
QFL-EWP vs. Full Retrain (oracle),accuracy,0.042592592592592626,1.4634549548442886,0.2808987905971692,False
QFL-EWP vs. Full Retrain (oracle),forgetting_score,-0.11742112482853224,-1.254748092043731,0.3363250783726689,False
